titulo,autor,ano,status,busca
Blue Room,,,1,titulo
Blue Skies,,,1,titulo
Blueberry Hill,,,1,titulo
Blues For Dixie,,,1,titulo
Blues March,Benny Golson,1958,1,completa
Blues My Naughty Sweetie Gives To Me,,,1,titulo
Bluesette,,,1,titulo
Bluff,,,1,titulo
Body and Soul,,,1,titulo
Bohemia After Dark,,,0,
Bop-Be,,,1,titulo
Bourbone Street Parade,,,1,titulo
Brain Cloudy Blues,,,1,titulo
Brazil (Aquarela do Brasil),Ary Barroso / Bob Russell,1939,1,completa
"Brigas, Nunca Mais",,,1,titulo
Buddy Bolden Blues,,,1,titulo
But Beautiful,Johnny Burke / Jimmy Van Heusen,1947,1,completa
But Not For Me,George Gershwin / Ira Gershwin,1930,1,completa
By a Waterfall,,,1,titulo
Bye Bye Blackbird,,,1,titulo
Bye Bye Blues,,,1,titulo
C Jam Blues,,,1,titulo
Cabaret,,,1,titulo
Call Me Irresponsible,,,1,titulo
Can Can,J.Offenbach,,1,completa
Candy,,,1,titulo
Caravan,Juan Tizol / Duke Ellington / Irving Mills,1936,1,completa
Careless Love,,,1,titulo
Centerpiece,,,1,titulo
Ceora,,,1,titulo
C`est Si Bon,,,1,titulo
Chameleon,Herbie Hancock / Paul Jackson / Harvey Mason / Bennie Maupin,1973,1,completa
Chattanooga Choo-Choo,,,1,titulo
Cheek To Cheek,,,1,titulo
Chelsea Bridge,Billy Strayhorn,1941,1,completa
Cherokee,,,1,titulo
Cherry,,,1,titulo
Cheryl,,,1,titulo
Chi Chi,,,1,titulo
Chicago,,,1,titulo
Child Is Born,Thad Jones,1969,1,completa
China Boy,,,1,titulo
"Chinatown, My Chinatown",,,1,titulo
Choo Choo Ch’Boogie,,,1,titulo
Chovendo Na Roseira,,,1,titulo
Christopher Columbus,,,1,titulo
Clarinet Marmalade,,,1,titulo
Close Enough for Love,,,1,titulo
Close To You (They Long To Be),Burt Bacharach / Hal David,1970,1,completa
Close Your Eyes,,,1,titulo
Come Fly with Me,,,1,titulo
Come Rain or Come Shine,Johnny Mercer / Harold Arlen,1946,1,completa
Come Sunday,Duke Ellington,1943,1,completa
Comin` In On a Wing and a Prayer,,,1,titulo
Con Alma,,,1,titulo
Confirmation,,,1,titulo
Cool Blues,,,0,
Corcovado,,,1,titulo
"Corinne, Corinna",,,1,titulo
Countdown,,,1,titulo
Cow-Cow Boogie,,,1,titulo
Crazeology,,,1,titulo
Cry Me a River,,,1,titulo
Daahoud,,,1,titulo
Dardanella,,,1,titulo
Darkness On The Delta,,,1,titulo
Darktown Strutters Ball,,,1,titulo
Darn That Dream,,,1,titulo
Dat Mistige Rooie Beest,,,1,titulo
De Lachende Dwerg,,,1,titulo
Deed I Do,,,1,titulo
Deep Purple,,,1,titulo
Del Sasser,,,1,titulo
Der Pariser Tango,,,1,titulo
Desafinado,,,1,titulo
Detour Ahead,,,1,titulo
Dig-a-dig-a-doo,,,1,titulo
Dinah,,,1,titulo
Dindi,Antônio Carlos Jobim / Aloysio de Oliveira,1959,1,completa
Do Nothing till You Hear from Me,,,1,titulo
Do You Know What It Means To Miss New Orleans,,,1,titulo
Doctor Jazz,,,1,titulo
Dolphin Dance,,,1,titulo
Domino,Louis Ferrari / Jacques Plante / Don Raye,1950,1,completa
Donna Lee,,,1,titulo
Don`t Be That Way,,,1,titulo
Don’t Blame Me,,,1,titulo
Don’t Fence Me In,,,1,titulo
Don’t Get Around Much Anymore,Duke Ellington / Bob Russell,1940,1,completa
Don’t Know Why,,,1,titulo
Don’t Let The Sun Catch You Cryin’,,,1,titulo
"Don’t Worry, Be Happy",,,1,titulo
Down By The Riverside,,,1,titulo
Doxy,,,1,titulo
Dream a Little Dream of Me,,,1,titulo
Dream Dancing,Cole Porter,1941,1,completa
Drop Me Off in Harlem,,,1,titulo
E.S.P.,Wayne Shorter,1964,1,completa
Early Autumn,Ralph Burns / Woody Herman / Johnny Mercer,1949,1,completa
Ease Away Walk,Benny Golson,1983,1,completa
East of the Sun,,,1,titulo
Easy Living,Ralph Rainger / Leo Robin,1937,1,completa
Ebb Tide,,,1,titulo
Eine Kleine Nachtmusik,,,1,titulo
Elizete,,,1,titulo
Elmer’s Tune,,,1,titulo
Embraceable You,,,1,titulo
Emily,,,1,titulo
Emmanuelle,,,1,titulo
Epistrophy,Thelonious Monk / Kenny Clarke,1941,1,completa
Estate,,,1,titulo
Et si tu n’existais pas,,,1,titulo
Europa (Earth’s Cry Heaven’s Smile),,,1,titulo
Every Day I Have The Blues,,,1,titulo
Everybody Loves My Baby,,,1,titulo
Everybody’s Song But My Own,,,1,titulo
Everything But You,,,1,titulo
Everything Happens to Me,Matt Dennis / Tom Adair,1940,1,completa
Ev’ry Time We Say Goodbye,,,1,titulo
Ev’rything I Love,,,1,titulo
Exactly Like You,,,1,titulo
Faithful Hussar,,,1,titulo
Fascinating Rhythm,,,1,titulo
Fee-Fi-Fo-Fum,,,1,titulo
Feeling Good,,,1,titulo
Feelings,Morris Albert / Louis Gaste,1974,1,completa
Five Brothers,Gerry Mulligan,,1,completa
Фиксики,,,1,titulo
Flamingo,Ted Grouya / Edmund Anderson,1940,1,completa
Flat Foot Floogie (with a Floy Floy),,,1,titulo
Fly Me To The Moon,Bart Howard,1954,1,completa
My Foolish Heart,1949  Victor Young / by Ned Washington,,1,completa
Fools Rush In,,,1,titulo
Footprints,,,1,titulo
For All We Know,,,1,titulo
For Heaven’s Sake,,,1,titulo
Forest Flower,,,1,titulo
Four Brothers,,,1,titulo
Four,,,1,titulo
Freddie Freeloader,Miles Davis,1959,1,completa
Freight Trane,Tommy Flanagan,1958,1,completa
Frim-Fram Sauce,,,1,titulo
Гадалка,М. Дунаевский / Л. Дербенёв,,1,completa
"Gee Baby, Ain`t I Good To You",,,1,titulo
