Titulo,Autor,Ano
Who`s Sorry Now,Ted Snyder / Bert Kalmar / Harry Ruby,1923
Why Don’t You Do Right,Kansas Joe McCoy / Herb Morand,1936
Willie the weeper,Walter Melrose / Grant Rymal / Marty Bloom,1904
Willow Weep for Me,Ann Ronell,1932
Windows,Chick Corea,1966
Whispering,Malvin Schonberger / John Schonberger,1920
Witchcraft,,
Wolverine blues,Jelly Roll Morton / Benjamin Franklin “Reb” Spikes / John Curry Spikes,1923
Yardbird Suite,Charlie Parker,1946
"Yes, Sir!",Walter Donaldson / Gus Kahn,1925
Yesterdays,Jerome Kern / Otto Harbach,1933
You Always Hurt The One You Love,Allan Roberts / Doris Fisher,1944
You Are The Sunshine of My Life,Stevie Wonder,1973
You Call Everybody Darling,Sam Martin / Ben Trace / Clem Watts,1946
You Can Depend On Me,Charles Carpenter / Louis Dunlap / Earl “Fatha” Hines,1931
You Don’t Know What Love Is,,
You Made Me Love You,James V. Monaco / Joseph McCarthy,1913
You Make Me Feel So Young,,
You Took Advantage Of Me,Richard Rodgers / Lorenz Hart,1928
You’d Be So Nice to Come Home To,Cole Porter,1942
You’ve Changed,Carl Fischer / Bill Carey,1942
