Titulo,Autor,Ano
Crazeology,,
Cry Me a River,,
Daahoud,,
Dardanella,,
Darkness On The Delta,,
Darktown Strutters Ball,,
Darn That Dream,,
Dat Mistige Rooie Beest,,
De Lachende Dwerg,,
Deed I Do,,
Deep Purple,,
Del Sasser,,
Der Pariser Tango,,
Desafinado,,
Detour Ahead,,
Dig-a-dig-a-doo,,
Dinah,,
Dindi,Antônio Carlos Jobim / Aloysio de Oliveira,1959
Do Nothing till You Hear from Me,,
Do You Know What It Means To Miss New Orleans,,
Doctor Jazz,,
Dolphin Dance,,
Domino,Louis Ferrari / Jacques Plante / Don Raye,1950
Donna Lee,,
Don`t Be That Way,,
Don’t Blame Me,,
Don’t Fence Me In,,
Don’t Get Around Much Anymore,Duke Ellington / Bob Russell,1940
Don’t Know Why,,
Don’t Let The Sun Catch You Cryin’,,
"Don’t Worry, Be Happy",,
Down By The Riverside,,
Doxy,,
Dream a Little Dream of Me,,
Dream Dancing,Cole Porter,1941
Drop Me Off in Harlem,,
E.S.P.,Wayne Shorter,1964
Early Autumn,Ralph Burns / Woody Herman / Johnny Mercer,1949
Ease Away Walk,Benny Golson,1983
East of the Sun,,
Easy Living,Ralph Rainger / Leo Robin,1937
Ebb Tide,,
Eine Kleine Nachtmusik,,
Elizete,,
Elmer’s Tune,,
Embraceable You,,
Emily,,
Emmanuelle,,
Epistrophy,Thelonious Monk / Kenny Clarke,1941
Estate,,
Et si tu n’existais pas,,
Europa (Earth’s Cry Heaven’s Smile),,
Every Day I Have The Blues,,
Everybody Loves My Baby,,
Everybody’s Song But My Own,,
Everything But You,,
Everything Happens to Me,Matt Dennis / Tom Adair,1940
Ev’ry Time We Say Goodbye,,
Ev’rything I Love,,
Exactly Like You,,
Faithful Hussar,,
Fascinating Rhythm,,
Fee-Fi-Fo-Fum,,
Feeling Good,,
Feelings,Morris Albert / Louis Gaste,1974
Five Brothers,Gerry Mulligan,
Фиксики,,
Flamingo,Ted Grouya / Edmund Anderson,1940
Flat Foot Floogie (with a Floy Floy),,
Fly Me To The Moon,Bart Howard,1954
My Foolish Heart,1949  Victor Young / by Ned Washington,
Fools Rush In,,
Footprints,,
For All We Know,,
For Heaven’s Sake,,
Forest Flower,,
Four Brothers,,
Four,,
Freddie Freeloader,Miles Davis,1959
Freight Trane,Tommy Flanagan,1958
Frim-Fram Sauce,,
Гадалка,М. Дунаевский / Л. Дербенёв,
"Gee Baby, Ain`t I Good To You",,
Georgia On My Mind (traditional),,
Georgia On My Mind,,
Get Out of Town,,
Getting Some Fun Out Of Life,,
Giant Steps,,
Give Me The Simple Life,,
Go Down Moses,,
God Bless the Child,Billie Holiday / Arthur Herzog Jr.,1939
Golden Earrings,,
Gone with the Wind,,
Good Bait,,
Good Morning Heartache,,
Goodbye,,
Goody Goody,,
Goofus,,
Gotta Get Some Sleep,,
Groove Juice Special,,
Groovin’ High,,
Hackensack,,
Half Nelson,,
Hallelujah,,
Harlem Nocturne,,
Have You Met Miss Jones?,,
"Hello, Dolly",,
Here`s That Rainy Day,,
Hey Jude,,
Hindustan,,
Historia de un Amor,,
Hit That Jive Jack,,
Hit the Road Jack,,
Honeysuckle Rose,,
Hot House,,
How About You ?,,
How Deep Is the Ocean?,,
How Do You Say Auf Wiedersehen?,,
How High The Moon,,
How Insensitive,,
How Little We Know,,
I Almost Lost My Mind,,
I Can’t Believe That You’re In Love With Me,,
I Can`t Get Started,,
I Can`t Give You Anything But Love,,
I Concentrate on You,,
I Could Write a Book,,
I Cover the Waterfront,Johnny Green / Edward Heyman,1933
I Didn’t Know About You,,
I Didn’t Know What Time It Was,,
I Don’t Want to Set the World on Fire,,
I Fall in Love Too Easily,,
I Get a Kick Out of You,Cole Porter,1934
I Get Along Without You Very Well,,
I Got it Bad and That Ain’t Good,,
I Got Rhythm,,
I Guess I’ll Hang My Tears Out to Dry,,
I Know That You Know,Vincent Youmans / Anne Caldwell,1926
I Know Why (And So Do You),,
I left my heart in San Francisko,,
I Let a Song Go Out of My Heart,Duke Ellington / Irving Mills / Henry Nemo / John Redmond,1938
I Love Paris,,
I Love You,Cole Porter,1944
"I Loves You, Porgy",George Gershwin / Ira Gershwin / DuBose Heyward,1935
I Mean You,Thelonius Monk / Coleman Hawkins,1946
I Only Have Eyes for You,Harry Warren / Al Dubin,1934
I Remember Clifford,Benny Golson,1957
I Thought About You,Jimmy Van Heusen / Johnny Mercer,1939
I Wanna Be Loved By You,,
I Want A Roof Over My Head,,
I Was Doing All Right,,
I Wish I Knew,,
I Wish You Love (Que reste-t-il de nos amours?),,
I Wished on the Moon,,
I Won’t Dance,,
Ice Cream,,
If I Had You,,
If I Love Again,Ben Oakland / J. P. Murray,1933
If I Should Lose You,,
If I Were a Bell,,
If You Nebver Come to Me ( Inútil Paisagem ),,
I’ll Be A Friend With Pleasure,,
I’ll Be Seeing You,,
I’ll Close My Eyes,,
I’ll Keep On Loving You,,
I’m a Fool to Want You,,
I’m Always Chasing Rainbows,Harry Carroll / Joseph McCarthy,1917
I’m An Errand Boy For Rhythm,,
I’m An Old Cowhand,,
I’m Beginning To See The Light,,
I’m Confessin’,,
I’m Crazy ‘Bout My Baby,,
I’m Getting Sentimental Over You,George Bassman / Ned Washington,1932
I`m Gonna Sit Right Down,,
I’m In The Mood For Love,Jimmy McHugh / Dorothy Fields,1935
I’m Just A Lucky So And So,,
I’m Nobody’s Baby,,
I’m Putting All My Eggs In One Basket,,
Imagination,Jimmy Van Heusel / Johnny Burke,1939
Impressions,,
In a Mellow Tone,,
In a Sentimental Mood,,
In a Shanty in Old Shanty Town,Ira Schuster / Jack Little / Joe Young,1932
In the mood,,
Indiana,,
Infant Eyes,,
Interplay,,
Invitation,,
Is It True What They Say About Dixie,,
Is You Is or Is You Ain’t My Baby,,
Isn’t She Lovely,,
It Could Happen to You,,
It don`t mean a thing,,
